rank,candidate_id,composite_score,semantic_score,shipper_score,career_score,skill_depth_score,engagement_score,llm_reason,current_title,current_company,years_of_experience,location,notice_period_days,open_to_work,github_activity_score,shipper_debug,career_debug,skill_debug,engage_debug
11,CAND_0086151,0.7358,0.818,0.58,0.8833,1.0,0.6586,This candidate owned and,Recommendation Systems Engineer,Wysa,7.7,"Vizag, Andhra Pradesh",120,True,51.7,"phrases:5,res_penalty:0.14,product_ratio:1.00","yoe:7.7(1.00),domain:0.67,tenure:30mo,product:1.00","domain_depth:5.86,buzzwords:0,penalty:0.00","inactive:88d,otw:True,rrr:0.52,gh:51.7,notice:120d"
12,CAND_0095528,0.71,0.7901,0.55,0.825,1.0,0.6896,"API error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 46.445163035s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '46s'}]}}",Senior Data Scientist,Netflix,5.3,"Indore, Madhya Pradesh",45,True,-1,"phrases:4,res_penalty:0.00,product_ratio:1.00","yoe:5.3(1.00),domain:0.50,tenure:32mo,product:1.00","domain_depth:8.52,buzzwords:0,penalty:0.00","inactive:47d,otw:True,rrr:0.55,gh:-1,notice:45d"
13,CAND_0049896,0.7377,0.7884,0.55,1.0,1.0,0.6454,"API error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 45.090245514s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '45s'}]}}",Search Engineer,Unacademy,7.3,"Vizag, Andhra Pradesh",90,True,-1,"phrases:4,res_penalty:0.00,product_ratio:1.00","yoe:7.3(1.00),domain:1.00,tenure:44mo,product:1.00","domain_depth:5.71,buzzwords:0,penalty:0.00","inactive:33d,otw:True,rrr:0.43,gh:-1,notice:90d"
14,CAND_0099401,0.7196,0.7678,0.55,0.97,1.0,0.6125,"API error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 18.563512581s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '18s'}]}}",NLP Engineer,Dream11,7.7,"Ahmedabad, Gujarat",90,False,24.1,"phrases:4,res_penalty:0.00,product_ratio:1.00","yoe:7.7(1.00),domain:1.00,tenure:22mo,product:1.00","domain_depth:5.80,buzzwords:0,penalty:0.00","inactive:23d,otw:False,rrr:0.42,gh:24.1,notice:90d"
15,CAND_0088025,0.749,0.7949,0.494,1.0,1.0,0.8175,"API error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 51.425129342s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '51s'}]}}",Staff Machine Learning Engineer,Yellow.ai,8.6,"Jaipur, Rajasthan",90,True,74.6,"phrases:4,res_penalty:0.14,product_ratio:1.00","yoe:8.6(1.00),domain:1.00,tenure:34mo,product:1.00","domain_depth:7.96,buzzwords:0,penalty:0.00","inactive:36d,otw:True,rrr:0.83,gh:74.6,notice:90d"
16,CAND_0011687,0.7441,0.7949,0.45,1.0,1.0,0.8725,"API error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 51.581342566s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '51s'}]}}",Senior NLP Engineer,Niramai,7.8,"Indore, Madhya Pradesh",15,True,76.3,"phrases:3,res_penalty:0.00,product_ratio:1.00","yoe:7.8(1.00),domain:1.00,tenure:46mo,product:1.00","domain_depth:6.83,buzzwords:0,penalty:0.00","inactive:40d,otw:True,rrr:0.89,gh:76.3,notice:15d"
17,CAND_0006567,0.7205,0.765,0.45,1.0,1.0,0.785,"API error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 14.459206726s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '14s'}]}}",Senior AI Engineer,Meta,7.9,"Noida, Uttar Pradesh",60,True,35.2,"phrases:3,res_penalty:0.00,product_ratio:1.00","yoe:7.9(1.00),domain:1.00,tenure:31mo,product:1.00","domain_depth:5.22,buzzwords:0,penalty:0.00","inactive:47d,otw:True,rrr:0.79,gh:35.2,notice:60d"
18,CAND_0069905,0.7159,0.8164,0.45,0.8833,1.0,0.79,Candidate,Applied ML Engineer,Sarvam AI,6.6,"Bhubaneswar, Odisha",90,True,44.8,"phrases:3,res_penalty:0.00,product_ratio:1.00","yoe:6.6(1.00),domain:0.67,tenure:26mo,product:1.00","domain_depth:7.80,buzzwords:0,penalty:0.00","inactive:59d,otw:True,rrr:0.78,gh:44.8,notice:90d"
19,CAND_0031593,0.7093,0.7752,0.494,1.0,0.7144,0.5982,"API error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 29.93373646s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '29s'}]}}",Search Engineer,Genpact AI,7.8,"Kolkata, West Bengal",90,True,23.2,"phrases:4,res_penalty:0.14,product_ratio:1.00","yoe:7.8(1.00),domain:1.00,tenure:31mo,product:1.00","domain_depth:3.57,buzzwords:0,penalty:0.00","inactive:92d,otw:True,rrr:0.58,gh:23.2,notice:90d"
20,CAND_0083307,0.7056,0.8119,0.408,0.97,1.0,0.7,"API error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 58.770346408s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '58s'}]}}",Search Engineer,CRED,7.8,"Vizag, Andhra Pradesh",120,True,69.2,"phrases:3,res_penalty:0.14,product_ratio:1.00","yoe:7.8(1.00),domain:1.00,tenure:23mo,product:1.00","domain_depth:6.56,buzzwords:0,penalty:0.00","inactive:90d,otw:True,rrr:0.70,gh:69.2,notice:120d"
